"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"19780122004129I","22-JAN-78","SOUTHBRIDGE","MA","SOUTHBRIDGE MUNI","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","CESSNA","CE-150","","","PERSONAL","GENERAL OPERATING RULES","NONE","18527","0","0","","","","1","PRIVATE PILOT","76","76","0","0"
"19780125004869I","25-JAN-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","MINOR","TAKEOFF GROUND ROLL","BOEING","747","100","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","9663","0","0","PWA","JT9D3A","JT9","4","AIRLINE TRANSPORT","","0","0","0"
"19780127002039I","27-JAN-78","EAST BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","ROLL-OUT (FIXED WING)","BOEING","747","200C","WORLD AIRWAYS INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","748WA","0","0","","","","4","AIRLINE TRANSPORT","","0","0","0"
"19780128003879I","28-JAN-78","LAKEVILLE","MA","","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","BLANCA","BL-7","BL-7-AC","","PERSONAL","GENERAL OPERATING RULES","NONE","1665E","0","0","","","","1","PRIVATE PILOT","686","230","0","0"
"19780128004339I","28-JAN-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","INITIAL APPROACH-INSTRUMENT FLIGHT RULES","MCDONNELL-DOUGLAS-BOEING","DC-9","","US AIRWAYS INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","945VJ","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19780128004349I","28-JAN-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","GROUND TAXI, OTHER AIRPLANE","BOEING","707","","","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","7586","0","0","","","","","AIRLINE TRANSPORT","","0","0","0"
"19780129004429I","29-JAN-78","CHELMSFORD","MA","","INCIDENT","","FCD/PREC LDG FROM CRUISE","BLANCA","BL-7","BL-7-KCAB","","PERSONAL","GENERAL OPERATING RULES","NONE","88046","0","0","LYC","O320*","O320","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","2900","150","0","0"
"19780130004809I","30-JAN-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","TO ABORTED (FIXED WING)","LOCKHEED","L-1011 TRISTAR","","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","313EA","0","0","RROYCE","RB211*","RB211","3","AIRLINE TRANSPORT","","0","0","0"
"19780131001929I","31-JAN-78","EAST BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","TO INITIAL CLIMB (1ST POWER REDUCTION)","BAC-BAE SYSTEMS","ONE-ELEVEN","","ALLEGHENY AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","1117J","0","0","","","","","AIRLINE TRANSPORT","","0","0","0"
"19780201005259I","01-FEB-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","MINOR","OTHER GROUND OPERATIONS","LOCKHEED","L-1011 TRISTAR","","","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","311EA","0","0","","","","","AIRLINE TRANSPORT","22619","120","0","0"
"19780202005419I","02-FEB-78","EAST BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","LEVEL OFF TOUCHDOWN","DOUG","DC-3","DC-3-C","PINEHURST AIRLINES INC","AIR TAXI (SCHEDULED- NOT COMMUTER)","AIR TAXI/COMMUTER","INSTRUMENT FLIGHT RULES","166E","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19780204005879I","04-FEB-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","NORMAL CRUISE","BOEING","747","100","","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","93107","0","0","","","","4","AIRLINE TRANSPORT","","0","0","0"
"19780223000919I","23-FEB-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","NORMAL CRUISE","DOUG","DC-6","","","ALL CARGO CARRIERS","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","93459","0","0","","","","4","AIRLINE TRANSPORT","","0","0","0"
"19780223000999I","23-FEB-78","PALMER","MA","METRO FLD","INCIDENT","MINOR","TAKEOFF GROUND ROLL","PIPER","PA-28","PA-28-140","","PERSONAL","GENERAL OPERATING RULES","NONE","1657H","0","0","","","","1","PRIVATE PILOT","400","18","0","0"
"19780225001809I","25-FEB-78","MARTHAS VINEYARD","MA","MARTHA'S VINEYA MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","PIPER","PA-28","PA-28-140","","PERSONAL","GENERAL OPERATING RULES","NONE","429FL","0","0","","","","1","PRIVATE PILOT","312","99","0","0"
"19780225001819I","25-FEB-78","TEWKSBURY","MA","TEW MAC","INCIDENT","MINOR","TO INITIAL CLIMB (1ST POWER REDUCTION)","PIPER","PA-28","PA-28-180","","PERSONAL","GENERAL OPERATING RULES","NONE","9343J","0","0","","","","1","PRIVATE PILOT","200","22","0","0"
"19780228000419I","28-FEB-78","NEW BEDFORD","MA","NEW BEDFORD MUNI","INCIDENT","","DESCENT","DOUG","DC-3","","","PERSONAL","GENERAL OPERATING RULES","NONE","144D","0","0","","","","2","AIRLINE TRANSPORT","2000","25","0","0"
"19780302014119I","02-MAR-78","BEDFORD","MA","","INCIDENT","MINOR","OPERATIONS ON GROUND FROM LANDING/ROTORCRAFT","PIPER","PA-32","PA-32-R300","","BUSINESS","GENERAL OPERATING RULES","INSTRUMENT FLIGHT RULES","4945F","0","0","","","","1","PRIVATE PILOT","1600","325","0","0"
"19780303015339I","03-MAR-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","MINOR","OPERATIONS ON GROUND FROM LANDING/ROTORCRAFT","PIPER","PA-23","PA-23-250","CORPORATE AIR","AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK)","AIR TAXI/COMMUTER","INSTRUMENT FLIGHT RULES","13878","0","0","","","","2","AIRLINE TRANSPORT","4300","1000","0","0"
"19780303015359I","03-MAR-78","NORTH HATFIELD","MA","NORTH HATFIELD MUNI","INCIDENT","MINOR","FCD/PREC LDG FROM CRUISE","CESSNA","CE-150","","","PERSONAL","GENERAL OPERATING RULES","NONE","7967E","0","0","","","","1","PRIVATE PILOT","300","41","0","0"
"19780303015379I","03-MAR-78","SHIRLEY","MA","SHIRLEY MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","BLANCA","BL-8","BL-8-KCAB","","PERSONAL","GENERAL OPERATING RULES","NONE","57644","0","0","","","","1","COMMERCIAL PILOT","450","17","0","0"
"19780303016049I","03-MAR-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","LEVEL OFF TOUCHDOWN","MCDONNELL-DOUGLAS-BOEING","DC-9","","US AIRWAYS INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","974VJ","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19780303016069I","03-MAR-78","BOSTON","MA","","INCIDENT","","CLIMB","BOEING","727","","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","6800","0","0","PWA","JT8*","JT8","3","AIRLINE TRANSPORT","","0","0","0"
"19780304015459I","04-MAR-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","TO INITIAL CLIMB (1ST POWER REDUCTION)","BOEING","707","","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","7583","0","0","","","","","AIRLINE TRANSPORT","","0","0","0"
"19780304015469I","04-MAR-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","BOEING","747","200C","WORLD AIRWAYS INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","748WA","0","0","PWA","JT9*","JT9","4","AIRLINE TRANSPORT","","0","0","0"
"19780304015529I","04-MAR-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","GROUND TAXI, OTHER AIRPLANE","BOEING","747","","PAN AMERICAN WORLD AIRWAYS INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","731PA","0","0","PWA","JT9*","JT9","","AIRLINE TRANSPORT","","0","0","0"
"19780305015499I","05-MAR-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","GROUND TAXI, OTHER AIRPLANE","BOEING","747","200C","WORLD AIRWAYS INC","SCHEDULED AIR CARRIER","GENERAL OPERATING RULES","INSTRUMENT FLIGHT RULES","748WA","0","0","","","","4","AIRLINE TRANSPORT","","0","0","0"
"19780306011679I","06-MAR-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","NORMAL CRUISE","BOEING","727","200","DELTA AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","452DA","0","0","","","","3","AIRLINE TRANSPORT","","0","0","0"
"19780308014239I","08-MAR-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","LEVEL OFF TOUCHDOWN","MCDONNELL-DOUGLAS-BOEING","DC-9","31CF","US AIRWAYS INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","945VJ","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19780311016399I","11-MAR-78","MARSHFIELD","MA","MARSHFIELD MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","PIPER","PA-28","PA-28-140","","PERSONAL","GENERAL OPERATING RULES","NONE","1809T","0","0","","","","1","PRIVATE PILOT","74","7","0","0"
"19780311016409I","11-MAR-78","NORWOOD","MA","NORWOOD MUNI","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","BLANCA","BL-7","BL-7-ECA","","PERSONAL","GENERAL OPERATING RULES","VISUAL FLIGHT RULES","2943G","0","0","","","","1","PRIVATE PILOT","170","18","0","0"
"19780314015909I","14-MAR-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","FINAL APPROACH- INSTRUMENT FLIGHT RULES","MCDONNELL-DOUGLAS-BOEING","DC-9","","TRANS WORLD AIRLINES","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","1056T","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19780314015929I","14-MAR-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","TO ABORTED (FIXED WING)","LOCKHEED","L-1011 TRISTAR","","TRANS WORLD AIRLINES","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","VISUAL FLIGHT RULES","31021","0","0","","","","","AIRLINE TRANSPORT","","0","0","0"
"19780315016529I","15-MAR-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","TO ABORTED (FIXED WING)","LOCKHEED","L-1011 TRISTAR","","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","306EA","0","0","","","","3","AIRLINE TRANSPORT","","0","0","0"
"19780315016539I","15-MAR-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","CLIMB","MCDONNELL-DOUGLAS-BOEING","DC-9","31CF","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","8966E","0","0","PWA","JT8*","JT8","2","AIRLINE TRANSPORT","","0","0","0"
"19780317013499I","17-MAR-78","AGAWAM","MA","BOWLES","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","CESSNA","CE-210","","BAKER AIR SERVICE","AIR TAXI (NON-SCHEDULED)","AIR TAXI/COMMUTER","NONE","7464E","0","0","","","","1","AIRLINE TRANSPORT","12600","900","0","0"
"19780323009979I","23-MAR-78","WORCESTER","MA","WORCESTER RGNL","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","CESSNA","CE-150","","","INSTRUCTION","GENERAL OPERATING RULES","NONE","1322Q","0","0","","","","1","STUDENT","19","19","0","0"
"19780323009989I","23-MAR-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","CLIMB","BOEING","707","120B","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","758DA","0","0","","","","4","AIRLINE TRANSPORT","","0","0","0"
"19780401007969I","01-APR-78","STERLING","MA","STERLING MUNI","INCIDENT","MINOR","TAKEOFF GROUND ROLL","PIPER","PA-28","PA-28-140","","PERSONAL","GENERAL OPERATING RULES","NONE","6332R","0","0","","","","1","PRIVATE PILOT","65","65","0","0"
"19780402008359I","02-APR-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","DESCENT","BOEING","707","","TRANS WORLD AIRLINES","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","8731","0","0","","","","","AIRLINE TRANSPORT","","0","0","0"
"19780402008979I","02-APR-78","NEWBURYPORT","MA","PLUM ISLAND","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","DE HAVILLAND-BOMBARDIER","DHC-1","","","PERSONAL","GENERAL OPERATING RULES","NONE","122DH","0","0","","","","1","PRIVATE PILOT","500","14","0","0"
"19780403009369I","03-APR-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","TAKEOFF GROUND ROLL","PIPER","PA-31","PA-31-350","FREEDOM AIRLINES INC","AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK)","AIR TAXI/COMMUTER","INSTRUMENT FLIGHT RULES","59911","0","0","LYC","TIO540*","O540","2","AIRLINE TRANSPORT","3900","1500","0","0"
"19780404008059I","04-APR-78","SOUTH WEYMOUTH","MA","","INCIDENT","","FCD/PREC LDG FROM CRUISE","PIPER","PA-23","PA-23-250","","AIR TAXI (NON-SCHEDULED)","AIR TAXI/COMMUTER","INSTRUMENT FLIGHT RULES","6568Y","0","0","LYC","IO540C4B5","O540","2","AIRLINE TRANSPORT","14000","80","0","0"
"19780405008079I","05-APR-78","HYANNIS","MA","BARNSTABLE MUNI-BOARDMAN/POLANDO FIELD","INCIDENT","","NORMAL CRUISE","FAIRCHILD","FH-227","C","AIR NEW ENGLAND INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","377NE","0","0","RROYCE","DART5327","DART","2","AIRLINE TRANSPORT","","0","0","0"
"19780410009729I","10-APR-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","CLIMB","MCDONNELL-DOUGLAS-BOEING","DC-9","31CF","US AIRWAYS INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","995VJ","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19780411009809I","11-APR-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","ROLL-OUT (FIXED WING)","BOEING","707","320C","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","7569A","0","0","","","","4","AIRLINE TRANSPORT","","0","0","0"
"19780411009819I","11-APR-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","DESCENT","BOEING","727","100","NORTHWEST AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","799US","0","0","","","","3","AIRLINE TRANSPORT","","0","0","0"
"19780413012309I","13-APR-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","CLIMB","BOEING","707","120B","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","7577A","0","0","","","","4","AIRLINE TRANSPORT","","0","0","0"
"19780413012319I","13-APR-78","HYANNIS","MA","BARNSTABLE MUNI-BOARDMAN/POLANDO FIELD","INCIDENT","","CLIMB","DE HAVILLAND-BOMBARDIER","DHC-6 TWIN OTTER","","AIR NEW ENGLAND INC","SCHEDULED AIR CARRIER","AIR TAXI/COMMUTER","INSTRUMENT FLIGHT RULES","201E","0","0","","","","","AIRLINE TRANSPORT","","0","0","0"
"19780415012589I","15-APR-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","CLIMB","BOEING","727","200","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","1929","0","0","","","","3","AIRLINE TRANSPORT","","0","0","0"
"19780419012859I","19-APR-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","CLIMB","MCDONNELL-DOUGLAS-BOEING","DC-8","61","DELTA AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","1307L","0","0","","","","4","AIRLINE TRANSPORT","","0","0","0"
"19780419012879I","19-APR-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","FINAL APPROACH- INSTRUMENT FLIGHT RULES","FAIRCHILD","FH-227","C","AIR NEW ENGLAND INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","376NE","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19780424011269I","24-APR-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","DESCENT","BOEING","727","200","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","6842","0","0","","","","3","AIRLINE TRANSPORT","","0","0","0"
"19780426010969I","26-APR-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","DESCENT","BOEING","747","","TRANS WORLD AIRLINES","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","93105","0","0","PWA","JT9D3","JT9","","AIRLINE TRANSPORT","","0","0","0"
"19780426010989I","26-APR-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","TO INITIAL CLIMB (1ST POWER REDUCTION)","BOEING","707","","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","7581A","0","0","","","","","AIRLINE TRANSPORT","","0","0","0"
"19780429014779I","29-APR-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","FINAL APPROACH","BOEING","727","200","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","1988","0","0","","","","3","AIRLINE TRANSPORT","","0","0","0"
"19780429014859I","29-APR-78","WORCESTER","MA","WORCESTER RGNL","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","PIPER","PA-28","PA-28-140","","INSTRUCTION","GENERAL OPERATING RULES","VISUAL FLIGHT RULES","15580","0","0","","","","1","STUDENT","95","95","0","0"
"19780430015129I","30-APR-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","OTHER GROUND OPERATIONS","BOEING","707","320B","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","8439","0","0","","","","4","AIRLINE TRANSPORT","","0","0","0"
"19780503031659I","03-MAY-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","CLIMB","BOEING","727","200","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","6834","0","0","","","","3","AIRLINE TRANSPORT","","0","0","0"
"19780510032919I","10-MAY-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","CLIMB","BOEING","727","100","TRANS WORLD AIRLINES","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","7893","0","0","","","","3","AIRLINE TRANSPORT","","0","0","0"
"19780511033199I","11-MAY-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","GROUND TAXI, OTHER AIRPLANE","LOCKHEED","L-1011 TRISTAR","","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","304EA","0","0","","","","3","AIRLINE TRANSPORT","","0","0","0"
"19780516033949I","16-MAY-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","CLIMB","DASSAULT AVIATION","FALCON 10-100","","FEDERAL EXPRESS CORP","ALL CARGO CARRIERS","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","29FE","0","0","GE","CF700*","CF700","2","AIRLINE TRANSPORT","","0","0","0"
"19780519034119I","19-MAY-78","PLYMOUTH","MA","PLYMOUTH MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","BLANCA","BL-17","BL-17-30","","BUSINESS","GENERAL OPERATING RULES","INSTRUMENT FLIGHT RULES","7315V","0","0","","","","1","COMMERCIAL PILOT","1800","425","0","0"
"19780520034389I","20-MAY-78","PROVINCETOWN","MA","PROVINCETOWN MUNI","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","CESSNA","CE-150","","","PERSONAL","GENERAL OPERATING RULES","NONE","10315","0","0","","","","1","PRIVATE PILOT","90","88","0","0"
"19780520034519I","20-MAY-78","WESTFIELD","MA","WESTFIELD-BARNES RGNL","INCIDENT","MINOR","FINAL APPROACH","PIPER","PA-23","PA-23-160","","INSTRUCTION","GENERAL OPERATING RULES","INSTRUMENT FLIGHT RULES","3339P","0","0","","","","2","PRIVATE PILOT","300","150","0","0"
"19780521034859I","21-MAY-78","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","","DESCENT","LOCKHEED","L-1011 TRISTAR","","EASTERN AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","318EA","0","0","RROYCE","RB211*","RB211","3","AIRLINE TRANSPORT","","0","0","0"
