"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"19790418024199I","18-APR-79","OWLS HEAD","ME","","INCIDENT","MINOR","TO INITIAL CLIMB (1ST POWER REDUCTION)","PIPER","PA-28","PA-28-140","","INSTRUCTION","GENERAL OPERATING RULES","NONE","560FL","0","0","","","","1","STUDENT","18","2","0","0"
"19790419024299I","19-APR-79","PORTLAND","ME","PORTLAND INTL","INCIDENT","","FINAL APPROACH- INSTRUMENT FLIGHT RULES","BOEING","727","200","DELTA AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","482DA","0","0","","","","3","AIRLINE TRANSPORT","","0","0","0"
"19790422024569I","22-APR-79","BOWDOINHAM","ME","MERRYMEETING FIELD","INCIDENT","MINOR","STARTING ENGINES","TCRAFT","BL","BLS-65","","PERSONAL","GENERAL OPERATING RULES","NONE","27524","0","0","","","","1","PRIVATE PILOT","70","10","0","0"
"19790523027729I","23-MAY-79","CAMDEN","ME","","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","PIPER","PA-12","","","PERSONAL","GENERAL OPERATING RULES","NONE","7722H","0","0","","","","1","PRIVATE PILOT","400","300","0","0"
"19790530028509I","30-MAY-79","PORTLAND","ME","PORTLAND INTL","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","GULSTM","GA-7","","","OTHER","GENERAL OPERATING RULES","INSTRUMENT FLIGHT RULES","DGEST","0","0","","","","2","COMMERCIAL PILOT","3100","10","0","0"
"19790615016529I","15-JUN-79","TURNER","ME","TWITCHELL","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","CESSNA","CE-150","","","PERSONAL","GENERAL OPERATING RULES","NONE","3483","0","0","","","","1","STUDENT","56","45","0","0"
"19790619021589I","19-JUN-79","CORINTH","ME","","INCIDENT","MINOR","FCD/PREC LDG FROM CRUISE","COMWTH","COMWTH-185","","","PERSONAL","GENERAL OPERATING RULES","NONE","92918","0","0","CONT","C8512","C85","1","PRIVATE PILOT","86","7","0","0"
"19790627017379I","27-JUN-79","DEXTER","ME","","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","CESSNA","CE-182","CE-182-B","","PERSONAL","GENERAL OPERATING RULES","NONE","2632G","0","0","","","","1","PRIVATE PILOT","2500","200","0","0"
"19790707019929I","07-JUL-79","LONG LAKE","ME","","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","LAKE","LA-4","LA-4-200","","PERSONAL","GENERAL OPERATING RULES","NONE","65675","0","0","","","","1","PRIVATE PILOT","541","17","0","0"
"19790721021019I","21-JUL-79","BANGOR","ME","BANGOR INTL","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","CONVAIR-GENERAL DYNAMICS","CV-22","CV-22-M","","EXECUTIVE","GENERAL OPERATING RULES","NONE","4339D","0","0","","","","4","AIRLINE TRANSPORT","10894","3500","0","0"
"19790809030499I","09-AUG-79","CARVER","ME","","INCIDENT","MINOR","PRACTICE TRAINING MENEUVERS","PIPER","PA-31","PA-31-350","","INSTRUCTION","GENERAL OPERATING RULES","NONE","45052","0","0","LYC","O145B2","O145","2","COMMERCIAL PILOT FLIGHT INSTRUCTOR","703","3","0","0"
"19790912035299I","12-SEP-79","HOULTON","ME","HOWLTON MUNI","INCIDENT","","NORMAL CRUISE","CESSNA","CE-172","","","OTHER","PARACHUTE JUMPING","NONE","3799L","0","0","","","","1","","","0","0","0"
"19791030053299I","30-OCT-79","BUCKSPORT","ME","","INCIDENT","MINOR","FCD/PREC LDG FROM CRUISE","CESSNA","CE-150","CE-150-F","","PERSONAL","GENERAL OPERATING RULES","NONE","6580F","0","0","CONT","O200A","O200","1","PRIVATE PILOT","110","4","0","0"
"19791127045789I","27-NOV-79","LIMERICK","ME","LIMERICK MUNI","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","CESSNA","CE-172","CE-172-N","","PERSONAL","GENERAL OPERATING RULES","NONE","738SF","0","0","","","","1","COMMERCIAL PILOT","260","130","0","0"
"19791224000379I","24-DEC-79","ROCKLAND","ME","YOUNG'S","INCIDENT","MINOR","UNKNOWN","CESSNA","CE-150","","","ILLEGAL DRUG, STOLEN AIRCRAFT, ETC.","GENERAL OPERATING RULES","NONE","2916S","0","0","","","","1","PILOT NOT CERTIFICATED","","0","0","0"
"19800105013439I","05-JAN-80","PORTLAND","ME","PORTLAND INTL","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","BEECH","BE-18","BE-18-G18S","AEROAMERICA INC","AIR TAXI (NON-SCHEDULED)","AIR TAXI/COMMUTER","","9400Y","0","0","","","","2","AIRLINE TRANSPORT","11000","2000","0","0"
"19800106011079I","06-JAN-80","BANGOR","ME","BANGOR MUNI","INCIDENT","","NORMAL CRUISE","BOEING","707","","TRANS WORLD AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","","28728","0","0","","","","","AIRLINE TRANSPORT","","0","0","0"
"19800112014929I","12-JAN-80","PORTLAND","ME","PORTLAND INTL JETPORT","INCIDENT","","CLIMB","BEECH","BE-18","BE-18-E18S","SOONAIR LINES INC","AIR TAXI (NON-SCHEDULED)","AIR TAXI/COMMUTER","","16SL","0","0","","","","2","COMMERCIAL PILOT","1530","30","0","0"
"19800113014939I","13-JAN-80","PHILLIPS","ME","","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","CESSNA","CE-182","CE-182-R","","PERSONAL","GENERAL OPERATING RULES","","9835C","0","0","","","","1","PRIVATE PILOT","2100","300","0","0"
"19800126015909I","26-JAN-80","BANGOR","ME","BANGOR MUNI","INCIDENT","MINOR","OPERATIONS ON GROUND TO TAKEOFF/ROTORCRAFT","PIPER","PA-22","PA-22-108","","PERSONAL","GENERAL OPERATING RULES","","4529Z","0","0","","","","1","PRIVATE PILOT","650","100","0","0"
"19800130020409I","30-JAN-80","PORTLAND","ME","PORTLAND INTL","INCIDENT","","CLIMB","BOEING","737","200","","SCHEDULED AIR CARRIER","GENERAL OPERATING RULES","","1288","0","0","","","","2","AIRLINE TRANSPORT","7000","3000","0","0"
"19800206020809I","06-FEB-80","AUGUSTA","ME","AUGUSTA STATE","INCIDENT","","CLIMB","RAYTHEON","99","","BAR HARBOR AIRWAYS INC","AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK)","AIR TAXI/COMMUTER","","200WP","0","0","PWA","PT6A27","PT6","2","AIRLINE TRANSPORT","3200","720","0","0"
"19800209023069I","09-FEB-80","PORTLAND","ME","PORTLAND INTL","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","GULSTM","GA-112","","","PERSONAL","GENERAL OPERATING RULES","","1037J","0","0","","","","1","PRIVATE PILOT","475","150","0","0"
"19800224003769I","24-FEB-80","MILLINOCKET","ME","","INCIDENT","MINOR","PRACTICE TRAINING MENEUVERS","CESSNA","CE-150","CE-150-L","","INSTRUCTION","GENERAL OPERATING RULES","","6632G","0","0","","","","1","STUDENT","15","15","0","0"
"19800303047469I","03-MAR-80","WHITEFIELD","ME","","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","PIPER","PA-22","PA-22-108","","PERSONAL","GENERAL OPERATING RULES","","5042Z","0","0","","","","1","PRIVATE PILOT","130","120","0","0"
"19800325040149I","25-MAR-80","BANGOR","ME","BANGOR INTL","INCIDENT","","AERIAL TAXI FROM LANDING/ROTORCRAFT","CONVAIR-GENERAL DYNAMICS","CV-240","","BAR HARBOR AIRWAYS INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","","94216","0","0","","","","2","AIRLINE TRANSPORT","10700","400","0","0"
"19800328032639I","28-MAR-80","AUGUSTA","ME","AUGUSTA STATE","INCIDENT","MINOR","OTHER GROUND OPERATIONS","RAYTHEON","99","","BAR HARBOR AIRWAYS INC","AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK)","AIR TAXI/COMMUTER","","205TZ","0","0","","","","2","AIRLINE TRANSPORT","9000","3500","0","0"
"19800420043999I","20-APR-80","BANGOR","ME","BANGOR MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","CESSNA","CE-152","","","INSTRUCTION","GENERAL OPERATING RULES","","65541","0","0","","","","1","STUDENT","85","40","0","0"
"19800428046479I","28-APR-80","BANGOR","ME","BANGOR MUNI","INCIDENT","MINOR","NORMAL CRUISE","RAYTHEON","99","","BAR HARBOR AIRWAYS INC","AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK)","AIR TAXI/COMMUTER","","204TC","0","0","","","","2","AIRLINE TRANSPORT","4300","2200","0","0"
"19800526058059I","26-MAY-80","NEW BRADFORD","ME","TOWER MUNI","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","CESSNA","CE-172","CE-172-N","","PERSONAL","GENERAL OPERATING RULES","","734UG","0","0","","","","1","PRIVATE PILOT","110","10","0","0"
"19800616054559I","16-JUN-80","LIMERICK","ME","LIMERICK MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","PIPER","PA-28","PA-28-140","","PERSONAL","GENERAL OPERATING RULES","","9843W","0","0","","","","1","PRIVATE PILOT","95","32","0","0"
"19800709060199I","09-JUL-80","BANGOR","ME","BANGOR INTL","INCIDENT","","FINAL APPROACH","CONVAIR-GENERAL DYNAMICS","CV-240","","BAR HARBOR AIRWAYS INC","SCHEDULED AIR CARRIER","GENERAL OPERATING RULES","","94207","0","0","","","","","AIRLINE TRANSPORT","6500","168","0","0"
"19800722062189I","22-JUL-80","PORTLAND","ME","PORTLAND INTL JETPORT","INCIDENT","","FCD/PREC LDG FROM CRUISE","DE HAVILLAND-BOMBARDIER","DHC-6 TWIN OTTER","","AIR NEW ENGLAND INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","","52FW","0","0","PWA","PT6*","PT6","","AIRLINE TRANSPORT","","0","0","0"
"19800807063609I","07-AUG-80","BRUNSWICK","ME","","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","CORBEN","BABYACE","","","PERSONAL","GENERAL OPERATING RULES","","16WT","0","0","","","","1","COMMERCIAL PILOT","3000","45","0","0"
"19800914068009I","14-SEP-80","WELLINGTON","ME","","INCIDENT","MINOR","FCD/PREC LDG FROM CRUISE","PIPER","PA-28","PA-28-180","","PERSONAL","GENERAL OPERATING RULES","","7567W","0","0","","","","1","PRIVATE PILOT","211","12","0","0"
"19801010073529I","10-OCT-80","BANGOR","ME","BANGOR INTL","INCIDENT","","CLIMB","RAYTHEON","99","","BAR HARBOR AIRWAYS INC","AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK)","AIR TAXI/COMMUTER","INSTRUMENT FLIGHT RULES","U107","0","0","PWA","PT6A20","PT6","2","AIRLINE TRANSPORT","","0","0","0"
"19801012073819I","12-OCT-80","ISLESBORO","ME","ISLESBORO MUNI","INCIDENT","MINOR","TAKEOFF GROUND ROLL","BEECH","BE-23","BE-23-C24R","","PERSONAL","GENERAL OPERATING RULES","VISUAL FLIGHT RULES","6016K","0","0","","","","1","PRIVATE PILOT","168","17","0","0"
"19801115083309I","15-NOV-80","WISCASSET","ME","","INCIDENT","MINOR","SIMULATED FORCED LANDING FINAL APPROACH","CESSNA","CE-172","CE-172-N","","INSTRUCTION","GENERAL OPERATING RULES","NONE","1955F","0","0","","","","1","COMMERCIAL PILOT","2500","40","0","0"
"19801206085339I","06-DEC-80","CARIBOU","ME","","INCIDENT","MINOR","FCD/PREC LDG FROM CRUISE","PIPER","PA-28","PA-28-151","JERRYS FLYING SERVICE","PERSONAL","GENERAL OPERATING RULES","NONE","43375","0","0","","","","1","PRIVATE PILOT","260","22","0","0"
"19801224088019I","24-DEC-80","SANFORD","ME","SANFORD MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","PIPER","PA-34","PA-34-200T","","INSTRUCTION","GENERAL OPERATING RULES","NONE","44642","0","0","","","","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","2560","32","0","0"
"19801227088879I","27-DEC-80","CLINTON","ME","","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","TCRAFT","BC","BC-12-D","","PERSONAL","GENERAL OPERATING RULES","NONE","95575","0","0","","","","1","PRIVATE PILOT","650","250","0","0"
"19801229089209I","29-DEC-80","BREWER","ME","BREWER MUNI","INCIDENT","MINOR","TAKEOFF GROUND ROLL","CESSNA","CE-152","","","INSTRUCTION","GENERAL OPERATING RULES","NONE","69009","0","0","","","","1","STUDENT","29","29","0","0"
"19810123006979I","23-JAN-81","BANGOR","ME","BANGOR INTL","INCIDENT","","NORMAL CRUISE","CONVAIR-GENERAL DYNAMICS","CV-240","","BAR HARBOR AIRWAYS INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","","94207","0","0","RROYCE","DART5424","DART","2","AIRLINE TRANSPORT","","0","0","0"
"19810130010749I","30-JAN-81","","ME","","INCIDENT","MINOR","TAKEOFF GROUND ROLL","CESSNA","CE-185","CE-185-F","","PERSONAL","GENERAL OPERATING RULES","NONE","4893C","0","0","","","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","1305","700","0","0"
