"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"19800810077019I","10-AUG-80","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","CESSNA","CE-170","CE-170-A","","PERSONAL","GENERAL OPERATING RULES","","5475C","0","0","","","","1","PRIVATE PILOT","","0","0","0"
"19801116084229I","16-NOV-80","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","","FCD/PREC LDG FROM CRUISE","DE HAVILLAND-BOMBARDIER","DHC-6 TWIN OTTER","","METRO AIR NORTHEAST INC VT","AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK)","GENERAL OPERATING RULES","VISUAL FLIGHT RULES","59AN","0","0","","","","","AIRLINE TRANSPORT","3357","1876","0","0"
"19801129083609I","29-NOV-80","RUTLAND","VT","RUTLAND - SOUTHERN VERMONT RGNL","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","PIPER","PA-34","PA-34-200T","","PERSONAL","GENERAL OPERATING RULES","INSTRUMENT FLIGHT RULES","CGQJR","0","0","","","","2","UNKNOWN/FOREIGN","250","70","0","0"
"19810214014489I","14-FEB-81","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","NAMER","NA-B25","","","PERSONAL","GENERAL OPERATING RULES","NONE","600DM","0","0","","","","2","COMMERCIAL PILOT","4153","50","0","0"
"19810216016229I","16-FEB-81","WINDHAM","VT","NORTH WINDHAM","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","BEECH","BE-23","BE-23-C24R","","BUSINESS","GENERAL OPERATING RULES","VISUAL FLIGHT RULES","6625P","0","0","","","","1","COMMERCIAL PILOT","1750","73","0","0"
"19810328024669I","28-MAR-81","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","MINOR","TAKEOFF GROUND ROLL","PIPER","PA-24","","","AIR TAXI (NON-SCHEDULED)","AIR TAXI/COMMUTER","NONE","7643P","0","0","","","","1","COMMERCIAL PILOT","8000","300","0","0"
"19810708038999I","08-JUL-81","LONDONDERRY","VT","NORTH WINDHAM","INCIDENT","MINOR","TAKEOFF GROUND ROLL","CESSNA","CE-150","CE-150-J","","PERSONAL","GENERAL OPERATING RULES","NONE","50745","0","0","","","","1","COMMERCIAL PILOT","","0","0","0"
"19810709078749I","09-JUL-81","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","BOWERS","FLYBABY","","","PERSONAL","GENERAL OPERATING RULES","NONE","4604","0","0","CONT","A65*","A65","1","PRIVATE PILOT","1346","0","8","0"
"19820329013119I","29-MAR-82","LYNDONVILLE","VT","","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","GULSTM","GA-AA","GA-AA-5B","","BUSINESS","GENERAL OPERATING RULES","VISUAL FLIGHT RULES","28705","0","0","LYC","O360A4K","O360","1","STUDENT","200","30","12","12"
"19820703039029I","03-JUL-82","NORTH SPRINGFIELD","VT","LEBANON MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","SCWZER","SGS-1","SGS-1-26B","","PERSONAL","GENERAL OPERATING RULES","NONE","27852","0","0","","","","0","UNKNOWN/FOREIGN","34","34","3","3"
"19820818053469I","18-AUG-82","ESSEX JUNCTION","VT","","INCIDENT","","INITIAL APPROACH-INSTRUMENT FLIGHT RULES","CESSNA","CE-182","","","PERSONAL","GENERAL OPERATING RULES","VISUAL FLIGHT RULES","2815R","0","0","CONT","O470*","O470","1","COMMERCIAL PILOT","9000","800","50","45"
"19820912066139I","12-SEP-82","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","PIPER","PA-34","PA-34-200","AIR VERMONT INC","AIR TAXI (NON-SCHEDULED)","GENERAL OPERATING RULES","VISUAL FLIGHT RULES","5385T","0","0","","","","2","COMMERCIAL PILOT FLIGHT INSTRUCTOR","1400","5","250","4"
"19821017066129I","17-OCT-82","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","CESSNA","CE-182","","","PERSONAL","GENERAL OPERATING RULES","NONE","3509F","0","0","","","","1","PRIVATE PILOT","540","500","15","15"
"19830507029179I","07-MAY-83","SHELBURNE","VT","BURLINGTON INTL","INCIDENT","MINOR","DESCENT","BLANCA","BL-7","BL-7-KCAB","","PERSONAL","GENERAL OPERATING RULES","NONE","1686G","0","0","","","","1","PRIVATE PILOT","3000","500","50","50"
"19830529032079I","29-MAY-83","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","PIPER","PA-31","PA-31-350","AIR VERMONT INC","AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK)","AIR TAXI/COMMUTER","INSTRUMENT FLIGHT RULES","104AQ","0","0","LYC","IO540*","O540","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","1920","450","115","115"
"19830710061699I","10-JUL-83","WARREN","VT","EDWARD F KNAPP STATE","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","","","","","PERSONAL","GENERAL OPERATING RULES","NONE","79DN","0","0","","","","0","COMMERCIAL PILOT","","0","0","0"
"19830817062329I","17-AUG-83","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","CESSNA","CE-172","CE-172-M","","PERSONAL","GENERAL OPERATING RULES","NONE","8906V","0","0","","","","1","PRIVATE PILOT","100","90","60","60"
"19831006072149I","06-OCT-83","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","RAYTHEON","99","C99","AIR VERMONT INC","AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK)","AIR TAXI/COMMUTER","INSTRUMENT FLIGHT RULES","96AV","0","0","PWA","PT6A36","PT6","2","AIRLINE TRANSPORT","5100","400","0","0"
"19831031068879I","31-OCT-83","BURLINGTON","VT","BURLINGTON MUNI","INCIDENT","","DESCENT","BOEING","737","","PEOPLE EXPRESS AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","412PE","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19831219075419I","19-DEC-83","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","PIPER","PA-34","PA-34-220T","","PERSONAL","GENERAL OPERATING RULES","NONE","8403J","0","0","CONT","TSIO360KB","O360","2","COMMERCIAL PILOT","1857","73","195","68"
"19831223072649I","23-DEC-83","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","","GROUND TAXI, OTHER AIRPLANE","BOEING","737","","PEOPLE EXPRESS AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","413PE","0","0","","","","2","AIRLINE TRANSPORT","4749","506","184","124"
"19831230070049I","30-DEC-83","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","","GROUND TAXI, OTHER AIRPLANE","MCDONNELL-DOUGLAS-BOEING","DC-9","31CF","US AIRWAYS INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","926VJ","0","0","","","","2","AIRLINE TRANSPORT","12500","7900","0","0"
"19840305026149I","05-MAR-84","SAINT ALBANS BAY","VT","CLINTON CO","INCIDENT","MINOR","UNAUTHORIZED LOW LEVEL OPERATIONS","CESSNA","CE-152","","","INSTRUCTION","GENERAL OPERATING RULES","NONE","4802B","0","0","","","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","435","250","35","35"
"19840313026939I","13-MAR-84","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","BEECH","BE-58","BE-58-P","","PERSONAL","GENERAL OPERATING RULES","INSTRUMENT FLIGHT RULES","62254","0","0","","","","2","PRIVATE PILOT","","637","198","177"
"19840324026199I","24-MAR-84","WEST DOVER","VT","MOUNT SNOW","INCIDENT","MINOR","UNAUTHORIZED LOW LEVEL OPERATIONS","GULSTM","GA-114","","","PERSONAL","GENERAL OPERATING RULES","NONE","7375J","0","0","","","","1","PRIVATE PILOT","500","125","15","15"
"19840708060049I","08-JUL-84","MIDDLEBURY","VT","MIDDLEBURY","INCIDENT","MINOR","DESCENT","PIPER","PA-J3C","PA-J3C-65","","PERSONAL","GENERAL OPERATING RULES","NONE","20782","0","0","CONT","A658","A65","1","","1500","500","1","1"
"19840713060169I","13-JUL-84","BERLIN","VT","BERLIN","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","BEECH","BE-35","BE-35-F35","","PERSONAL","GENERAL OPERATING RULES","NONE","3499G","0","0","CONT","E2258","E225","1","PRIVATE PILOT","3215","118","35","35"
"19840921063589I","21-SEP-84","BURLINGTON","VT","BEATTY","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","BEECH","BE-23","BE-23-C23","","PERSONAL","GENERAL OPERATING RULES","VISUAL FLIGHT RULES","6116F","0","0","","","","1","PRIVATE PILOT","175","30","50","6"
"19840922050519I","22-SEP-84","BASIN HARBOR","VT","BASIN HARBOR MUNI","INCIDENT","","NORMAL CRUISE","CESSNA","CE-150","CE-150-L","","PERSONAL","GENERAL OPERATING RULES","VISUAL FLIGHT RULES","6750G","0","0","CONT","O200A","O200","1","PRIVATE PILOT","1300","1300","30","30"
"19841209073649I","09-DEC-84","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","MINOR","TAKEOFF GROUND ROLL","CESSNA","CE-152","","","INSTRUCTION","GENERAL OPERATING RULES","NONE","69210","0","0","LYC","O235L2C","O235","1","STUDENT","16","16","16","16"
"19850331025239I","31-MAR-85","BURLINGTON","VT","ADIRONDACK RGNL","INCIDENT","","NORMAL CRUISE","RAYTHEON","99","","MALL AIRWAYS INC","AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK)","AIR TAXI/COMMUTER","INSTRUMENT FLIGHT RULES","851SA","0","0","PWA","PT6A20","PT6","2","AIRLINE TRANSPORT","4700","1000","285","220"
"19850405024299I","05-APR-85","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","MINOR","GO ROUND (ABORTED VISUAL FLIGHT RULES)","BEECH","BE-58","","","BUSINESS","GENERAL OPERATING RULES","INSTRUMENT FLIGHT RULES","6694T","0","0","CONT","IO520C","O520","2","AIRLINE TRANSPORT","11600","1267","197","29"
"19850421019999I","21-APR-85","SHELBURNE","VT","BURLINGTON INTL","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","MAULE","M-5","M-5-235C","","PERSONAL","GENERAL OPERATING RULES","NONE","5644N","0","0","","","","1","AIRLINE TRANSPORT","11000","135","3","3"
"19850429046559I","29-APR-85","WILMINGTON","VT","","INCIDENT","MINOR","FINAL APPROACH","QUAD CITY","CHALLENGER II","","","PERSONAL","GENERAL OPERATING RULES","NONE","35996","0","1","","","","0","PRIVATE PILOT","65","61","2","2"
"19850515033479I","15-MAY-85","MONTPELIER","VT","","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","MOONEY","M-20","M-20-C","","PERSONAL","GENERAL OPERATING RULES","NONE","5585Q","0","0","","","","1","PRIVATE PILOT","120","35","25","25"
"19850829065899I","29-AUG-85","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","","INITIAL APPROACH-INSTRUMENT FLIGHT RULES","CESSNA","CE-310","CE-310-R","","PERSONAL","GENERAL OPERATING RULES","INSTRUMENT FLIGHT RULES","98911","0","0","","","","2","PRIVATE PILOT","","200","0","0"
"19860209023599I","09-FEB-86","BARRE","VT","EDWARD F KNAPP STATE","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","PIPER","PA-30","","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","7015Y","0","0","","","","2","AIRLINE TRANSPORT","23800","1800","450","20"
"19860330014949I","30-MAR-86","WEST DOVER","VT","MOUNT SNOW","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","CESSNA","CE-210","CE-210-G","","PERSONAL","GENERAL OPERATING RULES","NONE","5923F","0","0","","","","1","PRIVATE PILOT","300","300","23","20"
"19860530038849I","30-MAY-86","SWANTON","VT","CLINTON CO","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","BLANCA","BL-7","BL-7-EC","","PERSONAL","GENERAL OPERATING RULES","NONE","7490B","0","0","","","","1","PRIVATE PILOT","130","1","0","0"
"19860613058029I","13-JUN-86","WATERFORD","VT","EDWARD F KNAPP STATE","INCIDENT","MINOR","FCD/PREC LDG FROM CRUISE","GULSTM","GA-112","GA-112-TC","","PERSONAL","GENERAL OPERATING RULES","NONE","1583J","0","0","","","","1","PRIVATE PILOT","240","90","30","25"
"19860628039009I","28-JUN-86","EDEN","VT","BURLINGTON INTL","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","CNTRAR","CNTRAR-101","CNTRAR-101-A","","PERSONAL","GENERAL OPERATING RULES","NONE","723PJ","0","0","","","","0","COMMERCIAL PILOT","250","185","45","45"
"19860711050359I","11-JUL-86","BONDVILLE","VT","RED FOX","INCIDENT","MINOR","TAKEOFF GROUND ROLL","CESSNA","CE-310","CE-310-R","","PERSONAL","GENERAL OPERATING RULES","NONE","3845G","0","0","","","","2","AIRLINE TRANSPORT","","","",""
"19860711066109I","11-JUL-86","RUTLAND","VT","RUTLAND - SOUTHERN VERMONT RGNL","INCIDENT","","TO INITIAL CLIMB (1ST POWER REDUCTION)","MOONEY","M-20","M-20-J","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","4223H","0","0","LYC","IO360A3B6","O360","1","COMMERCIAL PILOT","10000","500","20","20"
"19861109075389I","09-NOV-86","GRAND ISLE","VT","","INCIDENT","UNKNOWN","GROUND TAXI, OTHER AIRPLANE","BLANCA","BL-7","BL-7-AC","","PERSONAL","GENERAL OPERATING RULES","NONE","1003E","0","1","","","","1","PRIVATE PILOT","473","196","76","23"
"19861202077699I","02-DEC-86","BENNINGTON","VT","WILLIAM H. MORSE STATE","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","GULSTM","GA-690","GA-690-A","BUSINESS AIR INC","AIR TAXI (NON-SCHEDULED)","GENERAL OPERATING RULES","NONE","57096","0","0","","","","2","AIRLINE TRANSPORT","8000","420","75","25"
"19861228076369I","28-DEC-86","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","","ROLL-OUT (FIXED WING)","MAULE","M-5","M-5-180C","","PERSONAL","GENERAL OPERATING RULES","VISUAL FLIGHT RULES","66VJ","0","0","","","","1","PRIVATE PILOT","1150","160","36","30"
"19861228082519I","28-DEC-86","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","BLANCA","BL-7","BL-7-EC","","PERSONAL","GENERAL OPERATING RULES","NONE","8599E","0","0","","","","1","PRIVATE PILOT","466","400","30","30"
"19870116078689I","16-JAN-87","SOUTH BURLINGTON","VT","SKY ACRES","INCIDENT","MINOR","STARTING ENGINES","CESSNA","CE-310","CE-310-R","FLIGHT GROUP INC","AIR TAXI (NON-SCHEDULED)","AIR TAXI/COMMUTER","UNKNOWN","1909G","0","0","CONT","IO520M","O520","2","AIRLINE TRANSPORT","","","",""
"19870424067879I","24-APR-87","WARREN","VT","WARREN-SUGARBUSH","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","PIPER","PA-60","PA-60-600A","","PERSONAL","GENERAL OPERATING RULES","INSTRUMENT FLIGHT RULES","68918","0","0","","","","2","PRIVATE PILOT","1500","1100","30","30"
"19870519068399I","19-MAY-87","CHARLOTTE","VT","E.A.DEEDS FARM","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","BBAVIA","BBAVIA-7","BBAVIA-7-GCBC","","PERSONAL","GENERAL OPERATING RULES","NONE","8993R","0","0","","","","1","AIRLINE TRANSPORT","2543","48","","3"
"19870612067629I","12-JUN-87","MONTPELIER","VT","","INCIDENT","MINOR","INITIAL APPROACH-INSTRUMENT FLIGHT RULES","CESSNA","CE-150","CE-150-L","","PERSONAL","GENERAL OPERATING RULES","INSTRUMENT FLIGHT RULES","11386","0","0","","","","1","PRIVATE PILOT","","100","","10"
"19870730068759I","30-JUL-87","BOLTON","VT","","INCIDENT","","FCD/PREC LDG FROM CRUISE","CESSNA","CE-170","CE-170-B","","INSTRUCTION","GENERAL OPERATING RULES","NONE","2873C","0","0","","","","1","PRIVATE PILOT","350","200","120","100"
"19870813067669I","13-AUG-87","BENNINGTON","VT","WILLIAM H. MORSE STATE","INCIDENT","","FCD/PREC LDG FROM CRUISE","CESSNA","CE-150","CE-150-A","","PERSONAL","GENERAL OPERATING RULES","NONE","6155F","0","0","CONT","O200A","O200","1","PRIVATE PILOT","200","200","18","18"
"19871107078069I","07-NOV-87","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","MINOR","CLIMB","SAAB","340","A","BUSINESS EXPRESS AIRLINES INC","AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK)","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","343BE","0","0","","","","2","AIRLINE TRANSPORT","7000","90","174","90"
"19880611037609I","11-JUN-88","CHARLOTTE","VT","","INCIDENT","","PARACHUTE JUMPING","CESSNA","CE-172","CE-172-H","","OTHER","PARACHUTE JUMPING","NONE","2429L","0","1","","","","1","","","","",""
"19880730043149I","30-JUL-88","BARRE","VT","EDWARD F KNAPP STATE","INCIDENT","","CLIMB","CESSNA","CE-414","","","PERSONAL","GENERAL OPERATING RULES","NONE","500CK","0","0","CONT","TSIO520J","O520","2","PRIVATE PILOT","1100","600","40","40"
"19881116063449I","16-NOV-88","BARRE","VT","EDWARD F KNAPP STATE","INCIDENT","MINOR","FINAL APPROACH","CESSNA","CE-152","","","OTHER","GENERAL OPERATING RULES","NONE","49956","0","0","","","","1","PRIVATE PILOT","300","86","6","6"
"19890128009209I","28-JAN-89","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","","FCD/PREC LDG FROM CRUISE","PITTS","PITTS-S2","PITTS-S2-A","","PERSONAL","GENERAL OPERATING RULES","VISUAL FLIGHT RULES","80049","0","0","","","","1","PRIVATE PILOT","1000","100","30","30"
"19890202019279I","02-FEB-89","BENNINGTON","VT","WILLIAM H. MORSE STATE","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","CESSNA","CE-414","CE-414-A","","PERSONAL","GENERAL OPERATING RULES","INSTRUMENT FLIGHT RULES","414MA","0","0","CONT","TSIO520NB","O520","2","PRIVATE PILOT","3600","480","56","45"
"19890215013639I","15-FEB-89","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","","FORCED/PRECAUTIONARY LANDING","BEECH","BE-200","BE-200-B200","EVANS AIR INC","AIR TAXI (NON-SCHEDULED)","AIR TAXI/COMMUTER","INSTRUMENT FLIGHT RULES","123D","0","0","PWA","PT6*","PT6","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","5900","1300","167","167"
"19890221013499I","21-FEB-89","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","","FCD/PREC LDG FROM CRUISE","LAKE","LA-4","LA-4-200","","PERSONAL","GENERAL OPERATING RULES","VISUAL FLIGHT RULES","3085P","0","0","","","","1","PRIVATE PILOT","","22","","22"
"19890507019779I","07-MAY-89","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","","CLIMB","SAAB","340","A","METRO AIR NORTHEAST INC VT","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","743BA","0","0","GE","CT75A2","CT7TP","2","AIRLINE TRANSPORT","4600","1000","205","205"
"19890629050459I","29-JUN-89","BURLINGTON","VT","BURLINGTON INTL","INCIDENT","","FCD/PREC LDG FROM CRUISE","BOEING","737","200","CONTINENTAL AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","434PE","0","0","","","","2","AIRLINE TRANSPORT","","","",""
