,AIDS Report Number,Event City,Aircraft Make,Aircraft Model,Primary Flight Type,Flight Conduct Code,Flight Plan Filed Code,Total Fatalities,Total Injuries,PIC Certificate Type,PIC Flight Time Total Hrs,PIC Flight Time Total Make-Model
37,19780306011679I,BOSTON,BOEING,727,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
38,19780308014239I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-9,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
39,19780311016399I,MARSHFIELD,PIPER,PA-28,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,74.0,7.0
40,19780311016409I,NORWOOD,BLANCA,BL-7,PERSONAL,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,0,0,PRIVATE PILOT,170.0,18.0
41,19780314015909I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-9,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
42,19780314015929I,BOSTON,LOCKHEED,L-1011 TRISTAR,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,VISUAL FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
43,19780315016529I,BOSTON,LOCKHEED,L-1011 TRISTAR,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
44,19780315016539I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-9,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
45,19780317013499I,AGAWAM,CESSNA,CE-210,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,NONE,0,0,AIRLINE TRANSPORT,12600.0,900.0
46,19780323009979I,WORCESTER,CESSNA,CE-150,INSTRUCTION,GENERAL OPERATING RULES,NONE,0,0,STUDENT,19.0,19.0
47,19780323009989I,BOSTON,BOEING,707,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
48,19780401007969I,STERLING,PIPER,PA-28,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,65.0,65.0
49,19780402008359I,BOSTON,BOEING,707,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
50,19780402008979I,NEWBURYPORT,DE HAVILLAND-BOMBARDIER,DHC-1,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,500.0,14.0
51,19780403009369I,BOSTON,PIPER,PA-31,AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,3900.0,1500.0
52,19780404008059I,SOUTH WEYMOUTH,PIPER,PA-23,AIR TAXI (NON-SCHEDULED),AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,14000.0,80.0
53,19780405008079I,HYANNIS,FAIRCHILD,FH-227,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
54,19780410009729I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-9,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
55,19780411009809I,BOSTON,BOEING,707,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
56,19780411009819I,BOSTON,BOEING,727,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
57,19780413012309I,BOSTON,BOEING,707,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
58,19780413012319I,HYANNIS,DE HAVILLAND-BOMBARDIER,DHC-6 TWIN OTTER,SCHEDULED AIR CARRIER,AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
59,19780415012589I,BOSTON,BOEING,727,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
60,19780419012859I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-8,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
61,19780419012879I,BOSTON,FAIRCHILD,FH-227,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
62,19780424011269I,BOSTON,BOEING,727,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
63,19780426010969I,BOSTON,BOEING,747,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
64,19780426010989I,BOSTON,BOEING,707,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
65,19780429014779I,BOSTON,BOEING,727,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
66,19780429014859I,WORCESTER,PIPER,PA-28,INSTRUCTION,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,0,0,STUDENT,95.0,95.0
67,19780430015129I,BOSTON,BOEING,707,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
68,19780503031659I,BOSTON,BOEING,727,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
69,19780510032919I,BOSTON,BOEING,727,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
70,19780511033199I,BOSTON,LOCKHEED,L-1011 TRISTAR,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
71,19780516033949I,BOSTON,DASSAULT AVIATION,FALCON 10-100,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
72,19780519034119I,PLYMOUTH,BLANCA,BL-17,BUSINESS,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,0,0,COMMERCIAL PILOT,1800.0,425.0
73,19780520034389I,PROVINCETOWN,CESSNA,CE-150,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,90.0,88.0
74,19780520034519I,WESTFIELD,PIPER,PA-23,INSTRUCTION,GENERAL OPERATING RULES,INSTRUMENT FLIGHT RULES,0,0,PRIVATE PILOT,300.0,150.0
75,19780521034859I,BOSTON,LOCKHEED,L-1011 TRISTAR,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
76,19780522035359I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-9,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
77,19780527040789I,TURNERS FALLS,CESSNA,CE-182,OTHER,PARACHUTE JUMPING,NONE,0,0,COMMERCIAL PILOT,500.0,56.0
78,19780528040469I,NORWOOD,PIPER,PA-28,INSTRUCTION,PILOT SCHOOLS,NONE,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,4245.0,11.0
79,19780528040699I,BEDFORD,PIPER,PA-32,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,COMMERCIAL PILOT,883.0,11.0
80,19780529041139I,BOSTON,BOEING,727,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
81,19780607044909I,BOSTON,BOEING,727,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
82,19780607044929I,EAST BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-9,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
83,19780613045729I,BOSTON,LOCKHEED,L-1011 TRISTAR,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
84,19780615046029I,BOSTON,BOEING,707,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
85,19780616046049I,BOSTON,BOEING,747,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
86,19780616046059I,BOSTON,BOEING,707,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
87,19780616046069I,BOSTON,BOEING,727,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
88,19780617046379I,BOSTON,LOCKHEED,L-1011 TRISTAR,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
89,19780617046389I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-8,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
90,19780619046789I,BOSTON,BOEING,727,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
91,19780622047259I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-9,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
92,19780622047269I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-9,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
93,19780623036239I,SOUTH WEYMOUTH,CESSNA,CE-172,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,COMMERCIAL PILOT,1500.0,547.8739469578783
94,19780623036429I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-9,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
95,19780623036459I,BOSTON,LOCKHEED,L-1011 TRISTAR,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
96,19780625035729I,BARRE PLAINS,PIPER,PA-28,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,COMMERCIAL PILOT,3500.0,600.0
97,19780627035619I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-9,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
98,19780628039509I,WORCESTER,PIPER,PA-60,BUSINESS,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,2600.0,300.0
99,19780705042409I,BOSTON,LOCKHEED,L-1011 TRISTAR,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
100,19780706042469I,PLYMOUTH,CESSNA,CE-172,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,170.0,160.0
101,19780708043099I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-8,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
102,19780708043139I,BOSTON,LOCKHEED,L-1011 TRISTAR,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
103,19780710042989I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-9,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
104,19780711043189I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-8,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
105,19780712043399I,NORWOOD,PIPER,PA-28R,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,11000.0,100.0
106,19780717048339I,HYANNIS,FAIRCHILD,FH-227,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
107,19780720035659I,BOSTON,FAIRCHILD,FH-227,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
108,19780720038569I,BOSTON,FAIRCHILD,FH-227,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
109,19780721036119I,MARTHAS VINEYARD,BEECH,BE-35,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,2824.522308892356,547.8739469578783
110,19780722038559I,BOSTON,BOEING,727,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
111,19780724039139I,WESTFIELD,PIPER,PA-23,OTHER,GENERAL OPERATING RULES,NONE,0,0,COMMERCIAL PILOT,800.0,30.0
112,19780728036719I,BOSTON,LOCKHEED,L-1011 TRISTAR,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
113,19780730047529I,BOSTON,LOCKHEED,L-382,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
114,19780731044469I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-9,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
115,19780731044549I,HYANNIS,PIPER,PA-38,INSTRUCTION,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,0,0,COMMERCIAL PILOT FLIGHT INSTRUCTOR,630.0,70.0
116,19780801047569I,BOSTON,BOEING,727,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
117,19780802047709I,BOSTON,DE HAVILLAND-BOMBARDIER,DHC-6 TWIN OTTER,SCHEDULED AIR CARRIER,AIR TAXI/COMMUTER,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
118,19780802047759I,BOSTON,LOCKHEED,L-382,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
119,19780802047959I,BOSTON,BOEING,727,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
120,19780804049859I,NEW BRAINTREE,,,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,300.0,2.0
121,19780806050239I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-8,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
122,19780808049539I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-9,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
123,19780808049849I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-9,SCHEDULED AIR CARRIER,FOREIGN AIR CARRIER,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
124,19780809049869I,WESTFIELD,CESSNA,CE-177,PERSONAL,GENERAL OPERATING RULES,NONE,0,0,PRIVATE PILOT,250.0,9.0
125,19780811037599I,BOSTON,BOEING,747,ALL CARGO CARRIERS,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
126,19780811037689I,BOSTON,MCDONNELL-DOUGLAS-BOEING,DC-10,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
127,19780812037639I,BOSTON,BAC-BAE SYSTEMS,ONE-ELEVEN,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,0,0,AIRLINE TRANSPORT,2824.522308892356,547.8739469578783
