"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"19780829037949I","29-AUG-78","LANCASTER","NH","","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","PIPER","PA-28","PA-28-181","","PERSONAL","GENERAL OPERATING RULES","NONE","47641","0","0","","","","1","PRIVATE PILOT","200","100","0","0"
"19780903017289I","03-SEP-78","LACONIA","NH","LACONIA MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","PIPER","PA-28","PA-28-140","","PERSONAL","GENERAL OPERATING RULES","NONE","6264W","0","0","","","","1","STUDENT","","0","0","0"
"19780907018589I","07-SEP-78","NEW LONDON","NH","","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","BEECH","BE-35","BE-35-V35","","PERSONAL","GENERAL OPERATING RULES","NONE","562EL","0","0","","","","1","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","10420","2500","0","0"
"19780913017199I","13-SEP-78","KEENE","NH","DILLANT-HOPKINS","INCIDENT","","NORMAL CRUISE","FAIRCHILD","FH-227","C","AIR NEW ENGLAND INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","VISUAL FLIGHT RULES","374NE","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19780919019859I","19-SEP-78","ROCHESTER","NH","SKYHAVEN","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","PIPER","PA-23","","","BUSINESS","GENERAL OPERATING RULES","NONE","62825","0","0","","","","2","PRIVATE PILOT","1500","500","0","0"
"19780922027319I","22-SEP-78","NASHUA","NH","BOIRE FIELD","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","PIPER","PA-30","","","PERSONAL","GENERAL OPERATING RULES","NONE","7816Y","0","0","","","","2","PRIVATE PILOT","3000","1300","0","0"
"19780925018169I","25-SEP-78","MANCHESTER","NH","MANCHESTER MUNI","INCIDENT","","LEVEL OFF TOUCHDOWN","MCDONNELL-DOUGLAS-BOEING","DC-9","32","DELTA AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","3336L","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19781009029939I","09-OCT-78","LACONIA","NH","LACONIA MUNI","INCIDENT","MINOR","TO INITIAL CLIMB (1ST POWER REDUCTION)","GULSTM","GA-500","","","PERSONAL","GENERAL OPERATING RULES","NONE","12RZ","0","0","","","","2","COMMERCIAL PILOT","4000","650","0","0"
"19781110021619I","10-NOV-78","MANCHESTER","NH","MANCHESTER MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","CESSNA","CE-210","CE-210-T210M","","BUSINESS","GENERAL OPERATING RULES","NONE","2SL","0","0","","","","1","COMMERCIAL PILOT","4300","1000","0","0"
"19781116026579I","16-NOV-78","WOLFEBORO","NH","LAKES REGION","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","PIPER","PA-23","PA-23-160","","AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK)","GENERAL OPERATING RULES","NONE","4254P","0","0","","","","2","COMMERCIAL PILOT FLIGHT INSTRUCTOR","9620","1750","0","0"
"19781116026609I","16-NOV-78","LACONIA","NH","LACONIA MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","BEECH","BE-35","BE-35-E35","","OTHER","GENERAL OPERATING RULES","NONE","7326B","0","0","","","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","693","1","0","0"
"19781213024999I","13-DEC-78","LACONIA","NH","LACONIA MUNI","INCIDENT","SUBSTANTIAL","STARTING ENGINES","BEECH","BE-23","","","INSTRUCTION","GENERAL OPERATING RULES","NONE","247DK","0","0","","","","","STUDENT","30","30","0","0"
"19790110000269I","10-JAN-79","LACONIA","NH","LACONIA MUNI","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","PIPER","PA-28","PA-28-140","","PERSONAL","GENERAL OPERATING RULES","NONE","540FL","0","0","","","","1","PRIVATE PILOT","90","3","0","0"
"19790111000489I","11-JAN-79","HAMPTON","NH","HAMPTON MUNI","INCIDENT","MINOR","FORCED LANDING","PIPER","PA-J3","","","INSTRUCTION","GENERAL OPERATING RULES","NONE","1138V","0","0","CONT","A65*","A65","1","STUDENT","35","14","0","0"
"19790125003429I","25-JAN-79","MANCHESTER","NH","MANCHESTER MUNI","INCIDENT","","ROLL-OUT (FIXED WING)","BOEING","727","","DELTA AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","466DL","0","0","","","","3","AIRLINE TRANSPORT","","0","0","0"
"19790128003009I","28-JAN-79","MILTON","NH","","INCIDENT","MINOR","POWER ON VERTICAL LANDING/ROTORCRAFT","ENSTRM","ENSTRM-F28","ENSTRM-F28-A","","EXECUTIVE","GENERAL OPERATING RULES","NONE","279Q","0","0","","","","1","PRIVATE PILOT","365","184","0","0"
"19790217006339I","17-FEB-79","CONCORD","NH","CONCORD MUNI","INCIDENT","MINOR","TAKEOFF GROUND ROLL","CESSNA","CE-172","CE-172-N","","PERSONAL","GENERAL OPERATING RULES","DEFENSE VISUAL FLIGHT RULES","738UN","0","0","","","","1","PRIVATE PILOT","85","27","0","0"
"19790220007219I","20-FEB-79","ETNA","NH","","INCIDENT","MINOR","TO INITIAL CLIMB (1ST POWER REDUCTION)","BLANCA","BL-11","BL-11-AC","","PERSONAL","GENERAL OPERATING RULES","NONE","3167E","0","0","","","","1","PRIVATE PILOT","250","125","0","0"
"19790220007859I","20-FEB-79","NORTH SUTTON","NH","","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","GULSTM","GA-AA","GA-AA-1A","","PERSONAL","GENERAL OPERATING RULES","NONE","7255L","0","0","","","","1","PRIVATE PILOT","230","150","0","0"
"19790322011439I","22-MAR-79","KEENE","NH","DILLANT-HOPKINS","INCIDENT","","NORMAL CRUISE","FAIRCHILD","FH-227","B","AIR NEW ENGLAND INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","4218","0","0","RROYCE","DART5327","DART","2","AIRLINE TRANSPORT","","0","0","0"
"19790322011499I","22-MAR-79","NEWPORT","NH","NEWPORT MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","BEECH","BE-23","","","PERSONAL","GENERAL OPERATING RULES","NONE","4014T","0","0","","","","","PRIVATE PILOT","125","13","0","0"
"19790416023099I","16-APR-79","MANCHESTER","NH","MANCHESTER MUNI","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","","","","PRECISION VALLEY AVIATION INC","AIR TAXI (NON-SCHEDULED)","GENERAL OPERATING RULES","NONE","27423","0","0","","","","","AIRLINE TRANSPORT","2600","500","0","0"
"19790509026009I","09-MAY-79","KEENE","NH","DILLANT-HOPKINS","INCIDENT","MINOR","FINAL APPROACH","FAIRCHILD","FH-227","C","AIR NEW ENGLAND INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","379NE","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19790515026829I","15-MAY-79","HAMPTON FALLS","NH","","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","AYRES CORPORATION","AYRES-S2","","","BUSINESS","GENERAL OPERATING RULES","NONE","4901X","0","0","","","","1","COMMERCIAL PILOT","300","100","0","0"
"19790616017029I","16-JUN-79","NASHUA","NH","BOIRE FIELD","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","COMWTH","COMWTH-185","","","PERSONAL","GENERAL OPERATING RULES","NONE","93253","0","0","","","","1","PRIVATE PILOT","400","8","0","0"
"19790618021489I","18-JUN-79","MANCHESTER","NH","MANCHESTER MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","PIPER","PA-30","","","PERSONAL","GENERAL OPERATING RULES","NONE","7455Y","0","0","","","","2","PRIVATE PILOT","1450","250","0","0"
"19790712020489I","12-JUL-79","LITCHFIELD","NH","","INCIDENT","","NORMAL CRUISE","STOLAM","RC-3","","","PERSONAL","GENERAL OPERATING RULES","NONE","6444K","0","0","","","","1","PRIVATE PILOT","160","27","0","0"
"19790817031849I","17-AUG-79","TWIN MOUNTAIN","NH","TWIN MOUNTAIN MUNI","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","BLANCA","BL-7","BL-7-AC","","INSTRUCTION","GENERAL OPERATING RULES","NONE","82845","0","0","","","","1","STUDENT","55","55","0","0"
"19790921051349I","21-SEP-79","NEWPORT","NH","PARLIN FIELD","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","CESSNA","CE-182","","","PERSONAL","GENERAL OPERATING RULES","VISUAL FLIGHT RULES","96798","0","0","","","","1","PRIVATE PILOT","106","14","0","0"
"19790928049819I","28-SEP-79","KEENE","NH","DILLANT-HOPKINS","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","PIPER","PA-32","PA-32-300","","PERSONAL","GENERAL OPERATING RULES","NONE","4241R","0","0","","","","1","COMMERCIAL PILOT","1865","170","0","0"
"19790928049849I","28-SEP-79","ANTRIM","NH","HAWTHORNE-FEATHER AIRPARK","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","CESSNA","CE-150","CE-150-L","","PERSONAL","GENERAL OPERATING RULES","NONE","6896G","0","0","","","","1","PRIVATE PILOT","300","250","0","0"
"19791002050719I","02-OCT-79","CONCORD","NH","CONCORD MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","LAKE","LA-4","LA-4-200","","PERSONAL","GENERAL OPERATING RULES","NONE","1046L","0","0","","","","1","AIRLINE TRANSPORT","26000","0","0","0"
"19791108054979I","08-NOV-79","TWIN MOUNTAIN","NH","TWIN MOUNTAIN MUNI","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","BLANCA","BL-7","BL-7-CCM","","PERSONAL","GENERAL OPERATING RULES","NONE","84982","0","0","","","","1","AIRLINE TRANSPORT","18000","200","0","0"
"19791113053469I","13-NOV-79","LEBANON","NH","LEBANON MUNI","INCIDENT","","FCD/PREC LDG FROM CRUISE","DE HAVILLAND-BOMBARDIER","DHC-6 TWIN OTTER","","AIR NEW ENGLAND INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","52FW","0","0","","","","","AIRLINE TRANSPORT","","0","0","0"
"19791202048359I","02-DEC-79","LEBANON","NH","LEBANON MUNI","INCIDENT","","FCD/PREC LDG FROM CRUISE","FAIRCHILD","FH-227","","AIR NEW ENGLAND INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","374NE","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19791218046379I","18-DEC-79","BEDFORD","NH","BEDFORD MUNI","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","BEECH","BE-76","","","INSTRUCTION","GENERAL OPERATING RULES","NONE","794Y","0","0","","","","2","COMMERCIAL PILOT","1700","10","0","0"
"19800316040249I","16-MAR-80","JAFFREY","NH","JAFFREY AIRPORT-SILVER RANCH","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","PIPER","PA-28","PA-28-140","","INSTRUCTION","GENERAL OPERATING RULES","","8299","0","0","","","","1","STUDENT","36","36","0","0"
"19800326045569I","26-MAR-80","ANTRIM","NH","HAWTHORNE-FEATHER AIRPARK","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","PIPER","PA-38","PA-38-112","","INSTRUCTION","GENERAL OPERATING RULES","","2390G","0","0","","","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","580","30","0","0"
"19800407047939I","07-APR-80","MANCHESTER","NH","MANCHESTER MUNI","INCIDENT","","CLIMB","PIPER","PA-31","","PRECISION VALLEY AVIATION INC","AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK)","AIR TAXI/COMMUTER","","9196Y","0","0","LYC","TIO540A2B","O540","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","4200","1400","0","0"
"19800510055049I","10-MAY-80","MANCHESTER","NH","MANCHESTER MUNI","INCIDENT","","NORMAL CRUISE","CESSNA","CE-172","CE-172-N","","INSTRUCTION","GENERAL OPERATING RULES","","66P","0","0","","","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","500","250","0","0"
"19800510055109I","10-MAY-80","LACONIA","NH","LACONIA MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","CESSNA","CE-180","CE-180-C","","PERSONAL","GENERAL OPERATING RULES","","9183T","0","0","","","","1","AIRLINE TRANSPORT","8000","17","0","0"
"19800514043269I","14-MAY-80","LEBANON","NH","","INCIDENT","","NORMAL CRUISE","FAIRCHILD","FH-227","","AIR NEW ENGLAND INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","","379NE","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19800614053019I","14-JUN-80","WAKEFIELD","NH","","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","CESSNA","CE-185","CE-185-E","","PERSONAL","GENERAL OPERATING RULES","","1595F","0","0","","","","1","PRIVATE PILOT","140","25","0","0"
"19800709060209I","09-JUL-80","MANCHESTER","NH","","INCIDENT","","IN TRAFFIC PATTERN-CIRCLING","CONVAIR-GENERAL DYNAMICS","CV-240","","BAR HARBOR AIRWAYS INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","","94207","0","0","PWA","R2800*","R2800","","AIRLINE TRANSPORT","5317","469","0","0"
"19800716061189I","16-JUL-80","MANCHESTER","NH","MANCHESTER MUNI","INCIDENT","MINOR","STARTING ENGINES","PIPER","PA-28","PA-28-151","","INSTRUCTION","GENERAL OPERATING RULES","","44655","0","0","LYC","O320E3D","O320","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","1800","600","0","0"
"19800825066299I","25-AUG-80","MANCHESTER","NH","MANCHESTER MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","BEECH","BE-35","BE-35-B35","","PERSONAL","GENERAL OPERATING RULES","","8784A","0","0","CONT","E1858","E185","1","PRIVATE PILOT","455","31","0","0"
"19800828065509I","28-AUG-80","CLAREMONT","NH","CLAREMONT MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","BEECH","BE-36","BE-36-A36","","PERSONAL","GENERAL OPERATING RULES","","3600A","0","0","","","","1","COMMERCIAL PILOT","3160","663","0","0"
"19800905068929I","05-SEP-80","MANCHESTER","NH","MANCHESTER MUNI","INCIDENT","","NORMAL CRUISE","CONVAIR-GENERAL DYNAMICS","CV-240","","BAR HARBOR AIRWAYS INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","","94233","0","0","","","","2","AIRLINE TRANSPORT","11250","1000","0","0"
"19801002066169I","02-OCT-80","NASHUA","NH","BOIRE FIELD","INCIDENT","MINOR","FINAL APPROACH- INSTRUMENT FLIGHT RULES","BEECH","BE-35","BE-35-B33","","PERSONAL","GENERAL OPERATING RULES","INSTRUMENT FLIGHT RULES","7976K","0","0","","","","1","COMMERCIAL PILOT","404","300","51","51"
"19801005072839I","05-OCT-80","MANCHESTER","NH","MANCHESTER MUNI","INCIDENT","MINOR","OTHER GROUND OPERATIONS","BEECH","BE-23","BE-23-C23","CASHIN AVIATION","INSTRUCTION","PILOT SCHOOLS","VISUAL FLIGHT RULES","1948L","0","0","","","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","543","200","0","0"
"19801014074179I","14-OCT-80","LEBANON","NH","SHREVEPORT RGNL","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","FAIRCHILD","FH-227","C","AIR NEW ENGLAND INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","375NE","0","0","","","","2","AIRLINE TRANSPORT","","0","0","0"
"19801015074589I","15-OCT-80","LEBANON","NH","LEBANON MUNI","INCIDENT","MINOR","TAKEOFF GROUND ROLL","LOCKHEED","JETSTAR","","","EXECUTIVE","GENERAL OPERATING RULES","NONE","716RD","0","0","","","","4","AIRLINE TRANSPORT","18200","4000","0","0"
"19801101078729I","01-NOV-80","NEWPORT","NH","NEWPORT MUNI","INCIDENT","MINOR","GROUND TAXI, OTHER AIRPLANE","CESSNA","CE-172","","","PERSONAL","GENERAL OPERATING RULES","NONE","6001A","0","0","","","","1","PRIVATE PILOT","136","3","0","0"
"19810109007849I","09-JAN-81","MANCHESTER","NH","MANCHESTER MUNI","INCIDENT","","NORMAL CRUISE","DE HAVILLAND-BOMBARDIER","DHC-6 TWIN OTTER","","PRECISION VALLEY AVIATION INC","AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK)","AIR TAXI/COMMUTER","VISUAL FLIGHT RULES","50RP","0","0","","","","2","AIRLINE TRANSPORT","11489","123","0","0"
"19810111005989I","11-JAN-81","MOULTONBORO","NH","","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","CESSNA","CE-150","CE-150-L","","INSTRUCTION","GENERAL OPERATING RULES","NONE","6771G","0","0","","","","1","STUDENT","17","17","0","0"
"19810225017179I","25-FEB-81","MANCHESTER","NH","BRADLEY INTL","INCIDENT","","MISSED APPROACH INSTRUMENT FLIGHT RULES","BEECH","BE-58","","","AIR TAXI (NON-SCHEDULED)","AIR TAXI/COMMUTER","INSTRUMENT FLIGHT RULES","5899Y","0","0","CONT","IO520C","O520","2","AIRLINE TRANSPORT","3230","300","0","0"
"19810227017159I","27-FEB-81","MANCHESTER","NH","MANCHESTER MUNI","INCIDENT","","NORMAL CRUISE","DE HAVILLAND-BOMBARDIER","DHC-6 TWIN OTTER","","PRECISION VALLEY AVIATION INC","AIR TAXI COMMUTER (SCHEDULED 5 OR MORE ROUNDTRIPS PER WEEK)","AIR TAXI/COMMUTER","INSTRUMENT FLIGHT RULES","711AS","0","0","","","","","AIRLINE TRANSPORT","10760","2430","0","0"
"19810312020289I","12-MAR-81","LEBANON","NH","PENSACOLA GULF COAST RGNL","INCIDENT","","NORMAL CRUISE","BLANCA","BL-17","BL-17-30","","PERSONAL","GENERAL OPERATING RULES","NONE","4935V","0","0","CONT","IO520D","O520","1","PRIVATE PILOT","320","100","0","0"
"19810410025919I","10-APR-81","MOULTONBORO","NH","MOULTONBORO","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","CESSNA","CE-140","","","PERSONAL","GENERAL OPERATING RULES","NONE","3685V","0","0","","","","1","COMMERCIAL PILOT","907","625","0","0"
"19810411020859I","11-APR-81","MOULTONBORO","NH","MOULTONBORO","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","BEECH","BE-23","BE-23-B24R","","PERSONAL","GENERAL OPERATING RULES","NONE","9153S","0","0","","","","1","PRIVATE PILOT","100","11","0","0"
"19810412025889I","12-APR-81","NASHUA","NH","BOIRE FIELD","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","CESSNA","CE-150","CE-150-L","","PERSONAL","GENERAL OPERATING RULES","NONE","11394","0","0","","","","1","PRIVATE PILOT","63","63","0","0"
"19810416016779I","16-APR-81","MANCHESTER","NH","MANCHESTER MUNI","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","CESSNA","CE-180","CE-180-K","","BUSINESS","GENERAL OPERATING RULES","NONE","2602K","0","0","","","","1","COMMERCIAL PILOT","1400","100","50","10"
"19810704056619I","04-JUL-81","MEREDITH","NH","","INCIDENT","MINOR","NORMAL CRUISE","LUSCMB","LL-8","LL-8-E","","INDUSTRIAL/SPECIAL","GENERAL OPERATING RULES","NONE","1115B","0","0","","","","1","COMMERCIAL PILOT","8200","30","100","30"
"19810711053209I","11-JUL-81","LEBANON","NH","LEBANON MUNI","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","LAKE","LA-4","LA-4-200","","BUSINESS","GENERAL OPERATING RULES","NONE","3002P","0","0","","","","1","COMMERCIAL PILOT","5700","125","120","15"
"19810821070339I","21-AUG-81","CARROLL","NH","CARROLL COUNTY RGNL/JACK B POAGE FIELD","INCIDENT","MINOR","FORCED/PRECAUTIONARY LANDING","PIPER","PA-28","","","PERSONAL","GENERAL OPERATING RULES","NONE","41207","0","0","LYC","IO360C1C","O360","1","PRIVATE PILOT","370","142","10","10"
"19810826070329I","26-AUG-81","CONCORD","NH","CONCORD MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","CESSNA","CE-337","CE-337-C","FERNS FLYING SERVICE INC","AIR TAXI (NON-SCHEDULED)","AIR TAXI/COMMUTER","INSTRUMENT FLIGHT RULES","2543S","0","0","CONT","IO360C","O360","2","AIRLINE TRANSPORT","4500","800","100","25"
"19811002080899I","02-OCT-81","NASHUA","NH","BOIRE FIELD","INCIDENT","MINOR","TOUCH AND GO LANDING","BEECH","BE-77","","","INSTRUCTION","GENERAL OPERATING RULES","NONE","801Y","0","0","","","","1","STUDENT","10","10","10","10"
"19811004075449I","04-OCT-81","HAMPTON","NH","HAMPTON AIRFIELD","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","CESSNA","CE-152","CE-152-A","","PERSONAL","GENERAL OPERATING RULES","NONE","761ES","0","0","LYC","O235L2C","O235","1","PRIVATE PILOT","302","3","16","3"
"19811005075189I","05-OCT-81","HAMPTON","NH","PORTSMOUTH INTL AT PEASE","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","PIPER","PA-28","PA-28-140","","PERSONAL","GENERAL OPERATING RULES","NONE","33458","0","0","","","","1","PRIVATE PILOT","70","70","10","10"
"19811119083559I","19-NOV-81","CONCORD","NH","CONCORD MUNI","INCIDENT","MINOR","FINAL APPROACH","CESSNA","CE-172","CE-172-N","","PERSONAL","GENERAL OPERATING RULES","NONE","1674E","0","0","","","","1","PRIVATE PILOT","200","31","4","4"
"19811119086129I","19-NOV-81","LEBANON","NH","LEBANON MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","CESSNA","CE-152","","LEBANON AIRPORT DEVELOPMENT CORP","INSTRUCTION","PILOT SCHOOLS","NONE","89255","0","0","","","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","5000","2000","150","30"
"19811220085619I","20-DEC-81","LACONIA","NH","CONCORD MUNI","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","BEECH","BE-19","BE-19-A","","PERSONAL","GENERAL OPERATING RULES","NONE","23848","0","0","","","","1","PRIVATE PILOT","190","15","15","15"
"19820312013599I","12-MAR-82","LEBANON","NH","LEBANON MUNI","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","LAKE","LA-4","LA-4-200","","PERSONAL","GENERAL OPERATING RULES","NONE","1232L","0","0","LYC","IO360A1B","O360","1","COMMERCIAL PILOT","1655","300","10","0"
